series_id,series_name,brand_name,sub_brand_name,min_price,max_price,count,rank
2843,蔚来ES6,蔚来,蔚来,33.8,34.98,47726,156
25161,领克900,领克,领克,28.99,39.69,47364,157
2875,英仕派,本田,东风本田,11.68,14.78,47179,158
25238,海豹06EV,比亚迪,比亚迪,10.98,12.98,46607,159
6363,极狐 阿尔法T5,ARCFOX极狐,北汽新能源,10.98,15.48,46080,160
6227,瑞虎9,奇瑞,奇瑞汽车,13.29,18.39,45894,161
8796,领克08 EM-P,领克,领克,15.98,21.28,45709,162
5217,大众ID.3,大众,上汽大众,11.89,14.49,44902,163
25014,AION UT,埃安,广汽埃安新能源,6.68,9.88,44801,164
9128,ZEEKR 007,极氪,极氪,20.99,29.99,44032,165
6206,蓝山,魏牌,长城汽车,29.98,32.68,43685,166
348,君威,别克,上汽通用别克,10.69,12.39,43472,167
25094,日产N7,日产,东风日产,11.49,14.49,43457,168
861,凯迪拉克XT5,凯迪拉克,上汽通用凯迪拉克,23.49,32.59,43278,169
5015,ZEEKR 001,极氪,极氪,25.9,32.98,43272,170
8985,风云A9L,奇瑞风云,奇瑞汽车,13.99,22.69,42951,171
1151,奇骏,日产,东风日产,11.78,26.29,42729,172
9261,纳米01,东风纳米,东风汽车,5.88,9.78,42714,173
3736,凯迪拉克CT5,凯迪拉克,上汽通用凯迪拉克,19.99,24.59,42542,174
4426,AION V,埃安,广汽埃安新能源,10.98,18.18,41767,175
24535,领克Z20,领克,领克,10.99,14.49,41725,176
8859,银河L6,吉利银河,吉利银河,7.78,10.28,41496,177
25571,缤果S,五菱汽车,上汽通用五菱,6.48,7.78,41480,178
4342,领克06,领克,领克,9.96,11.18,41280,179
405,途昂,大众,上汽大众,24.9,31.99,40893,180
8830,银河L7,吉利银河,吉利银河,10.57,14.97,39978,181
10270,坦克400 Hi4-T,坦克,长城汽车,28.58,29.98,39974,182
25401,极狐T1,ARCFOX极狐,北汽新能源,6.28,8.78,39308,183
25234,乐道L90,乐道,蔚来,26.58,30.68,39264,184
5828,MG4,名爵,上汽集团,6.58,9.98,37776,185
25399,海狮06DM,比亚迪,比亚迪,13.98,15.68,36577,186
9179,极狐 阿尔法S5,ARCFOX极狐,北汽新能源,11.18,16.28,35794,187
397,凌渡,大众,上汽大众,11.39,15.59,35695,188
4760,岚图FREE,岚图,岚图汽车,21.99,27.99,35678,189
5343,问界M5,AITO,赛力斯汽车,22.98,24.98,35637,190
410,高尔夫,大众,一汽-大众,11.79,14.69,35533,191
20138,海狮05DM,比亚迪,比亚迪,8.98,12.58,35358,192
9184,传祺E8 PHEV,广汽传祺,广汽传祺,20.28,22.48,34730,193
585,锐界,福特,长安福特,20.18,28.48,34726,194
100,奥迪Q3,奥迪,一汽奥迪,17.17,20.28,34467,195
5257,QQ冰淇淋,奇瑞,奇瑞新能源,3.29,3.89,34298,196
3928,奔驰GLB,奔驰,北京奔驰,19.19,24.79,33886,197
2832,传祺M6,广汽传祺,广汽传祺,10.08,11.38,33337,198
534,雷凌,丰田,广汽丰田,7.08,10.88,33182,199
10120,红旗HS3 PHEV,红旗,一汽红旗,12.98,13.48,33178,200
10230,阿维塔 06,阿维塔,阿维塔科技,18.99,25.99,33041,201
164,北京越野BJ40,北京越野,北京汽车,13.78,15.99,32872,202
24927,五菱之光EV,五菱汽车,上汽通用五菱,4.58,5.78,32245,203
8795,哈弗枭龙MAX,哈弗,长城汽车,11.68,15.48,32202,204
25116,firefly萤火虫,firefly萤火虫,蔚来,7.98,12.58,31958,205
8943,捷途旅行者C-DM,捷途山海,奇瑞汽车,15.29,21.99,31752,206
4635,欧拉好猫,欧拉,长城汽车,8.38,10.38,30809,207
20021,海豹07DM,比亚迪,比亚迪,11.18,18.68,30756,208
1016,马自达CX-5,马自达,长安马自达,11.58,14.38,30543,209
3172,捷达VA3,捷达,一汽-大众捷达,6.48,9.48,30525,210
1292,五菱之光,五菱汽车,上汽通用五菱,3.51,3.79,30428,211
1092,瑞虎3x,奇瑞,奇瑞汽车,4.99,6.19,30096,212
5244,捷途大圣,捷途,奇瑞汽车,6.99,10.49,29900,213
9828,eπ008,东风奕派,东风乘用车,15.99,19.06,29886,214
10214,深蓝L07,深蓝汽车,深蓝汽车,13.19,15.59,29625,215
9924,五菱缤果PLUS,五菱汽车,上汽通用五菱,7.58,9.88,29331,216
5929,揽巡,大众,一汽-大众,18.69,24.39,29246,217
9723,北京越野BJ40增程,北京越野,北京汽车,17.98,20.48,28508,218
25521,银河M9,吉利银河,吉利银河,17.38,23.88,28465,219
6068,海狮07EV,比亚迪,比亚迪,16.98,23.18,28086,220
617,传祺GS8,广汽传祺,广汽传祺,14.48,23.58,27524,221
8959,坦克300 Hi4-T,坦克,长城汽车,24.98,24.98,27071,222
5340,型格,本田,广汽本田,7.79,11.89,27034,223
1291,五菱荣光,五菱汽车,上汽通用五菱,4.09,4.755,27024,224
4370,领克07 EM-P,领克,领克,13.98,15.98,26823,225
4838,宝马i3,宝马,华晨宝马,19.83,25.69,25899,226
24726,腾势N9 DM,腾势,腾势汽车,38.98,44.98,25814,227
1616,蔚来ES8,蔚来,蔚来,40.68,44.68,25472,228
5911,睿蓝X3 PRO,睿蓝汽车,睿蓝汽车,4.49,5.39,25369,229
9641,捷途山海T1,捷途山海,奇瑞汽车,12.49,16.99,25194,230
10022,悦也Plus,宝骏,上汽通用五菱,7.28,11.68,24955,231
1279,沃尔沃S60,沃尔沃,沃尔沃亚太,18.99,25.89,24848,232
1101,小蚂蚁,奇瑞,奇瑞新能源,4.99,6.89,24723,233
24597,夏,比亚迪,比亚迪,19.68,29.48,24708,234
9246,豹8,方程豹,方程豹,37.98,42.38,24399,235
9349,eπ007,东风奕派,东风乘用车,11.59,26.59,23958,236
4319,五菱宏光纯电版,五菱汽车,上汽通用五菱,5.98,6.28,23866,237
6126,丰田bZ3,丰田,一汽丰田,12.48,15.48,23718,238
6359,红旗HS3,红旗,一汽红旗,9.78,13.28,23628,239
25315,哈弗猛龙燃油版,哈弗,长城汽车,13.69,14.69,23419,240
345,威朗,别克,上汽通用别克,6.59,9.59,23380,241
24919,悦意03,奔腾,一汽奔腾,7.98,11.29,23319,242
5306,深蓝SL03,深蓝汽车,深蓝汽车,11.99,13.19,22713,243
9660,智己L6,智己汽车,智己汽车,20.49,26.59,22091,244
6204,蓝电E5,蓝电,赛力斯蓝电汽车,9.98,15.19,21891,245
6391,小鹏G7,小鹏汽车,小鹏汽车,19.58,22.58,21878,246
291,奥德赛,本田,广汽本田,18.18,38.58,21854,247
5855,江豚,开瑞,开瑞汽车,13.38,16.28,21773,248
6356,极狐 考拉,ARCFOX极狐,北汽新能源,11.97,15.88,21718,249
5878,ZEEKR 009,极氪,极氪,43.9,89.9,21712,250
2880,吉利ICON,吉利汽车,吉利汽车,7.98,8.58,21560,251
5322,smart精灵#1,smart,smart,15.49,24.99,21526,252
8834,阿维塔 12,阿维塔,阿维塔科技,25.99,70.0,21392,253
547,普拉多,丰田,一汽丰田,40.48,54.48,21338,254
10177,岚图知音,岚图,岚图汽车,19.69,24.29,21233,255
1081,艾瑞泽5,奇瑞,奇瑞汽车,4.69,5.29,21152,256
267,奔腾B70,奔腾,一汽奔腾,9.88,13.79,20888,257
2890,奕跑,起亚,起亚,5.88,7.28,20786,258
25078,唐L DM,比亚迪,比亚迪,21.48,27.08,20655,259
5461,小鹏G9,小鹏汽车,小鹏汽车,24.88,27.88,20562,260
6211,豪越L,吉利汽车,吉利汽车,8.99,13.59,20427,261
10178,理想i8,理想汽车,理想汽车,33.98,33.98,20396,262
9173,荣威D7 DMH,荣威,上汽集团,7.98,9.98,20363,263
4586,ID.4 CROZZ,大众,一汽-大众,13.99,23.36,20307,264
25488,领克10 EM-P,领克,领克,16.58,20.18,20215,265
1322,途胜,现代,北京现代,9.68,15.48,19952,266
4074,北京EU5,北京汽车,北京汽车,9.98,15.19,19938,267
25140,荣威D6,荣威,上汽集团,7.98,11.98,19539,268
616,传祺GS4,广汽传祺,广汽传祺,8.98,9.98,19481,269
