series_id,series_name,brand_name,sub_brand_name,min_price,max_price,count,score,rank
9208,哪吒AYA,哪吒汽车,合众汽车,6.98,6.98,98,0,709
4329,RAV4荣放PHEV,丰田,一汽丰田,20.03,24.93,91,0,710
5895,ARIYA 艾睿雅,日产,东风日产,19.99,28.29,83,0,711
5418,红旗金葵花国耀,红旗,一汽红旗,136.58,166.0,78,0,712
5896,五菱Air ev晴空,五菱汽车,上汽通用五菱,5.78,6.98,74,0,713
4890,福特电马,福特,长安福特,19.98,31.98,74,0,714
4813,威兰达PHEV,丰田,广汽丰田,25.78,29.58,70,0,715
4201,海马7X,海马,一汽海马,12.98,16.38,66,0,716
6069,合创A06,合创汽车,合创汽车,13.98,26.98,65,0,717
8798,猛士917,猛士,猛士科技,63.77,109.8,51,0,718
25613,锐胜M8新能源,北京汽车制造厂,北京汽车制造厂,15.98,23.98,50,0,719
1357,创酷,雪佛兰,上汽通用雪佛兰,10.99,12.89,49,0,720
3463,领克05,领克,领克,17.78,22.08,48,0,721
165,北京越野BJ80,北京越野,北京汽车,29.8,39.8,47,0,722
1636,丰田C-HR,丰田,广汽丰田,10.88,14.88,42,0,723
691,红旗金葵花国礼,红旗,一汽红旗,718.0,758.0,42,0,724
5014,小虎FEV,小虎,宏瑞汽车,4.19,5.59,40,0,725
4703,风光500,东风风光,东风小康,6.18,8.58,36,0,726
4182,凯迪拉克CT4,凯迪拉克,上汽通用凯迪拉克,16.97,20.97,33,0,727
6312,哪吒GT,哪吒汽车,合众汽车,18.88,22.68,30,0,728
3337,奥迪Q2L e-tron,奥迪,一汽奥迪,17.07,17.07,22,0,729
6080,吉利几何G6,吉利几何,吉利几何,11.98,18.28,18,0,730
4981,元Pro,比亚迪,比亚迪,5.58,7.38,18,0,731
5934,海马7X-E,海马,一汽海马,21.98,25.98,17,0,732
2993,长安CS85 COUPE,长安,长安汽车,11.49,15.99,16,0,733
4894,ID.6 X,大众,上汽大众,18.99,22.39,12,0,734
5067,EVOS,福特,长安福特,16.98,22.98,10,0,735
6154,昊铂SSR,广汽昊铂,广汽埃安新能源,128.6,168.6,9,0,736
5033,轩度,凯翼,凯翼汽车,7.98,9.39,8,0,737
2813,风光ix5,东风风光,东风小康,9.98,16.59,6,0,738
3723,合创007,合创汽车,合创汽车,29.98,29.98,5,0,739
9032,五菱星云,五菱汽车,上汽通用五菱,8.98,10.58,4,0,740
8962,江淮A5 PLUS,江淮汽车,江汽集团,5.98,8.58,4,0,741
5860,一汽丰田bZ4X,丰田,一汽丰田,19.98,28.48,4,0,742
6003,睿蓝9,睿蓝汽车,睿蓝汽车,15.99,19.79,2,0,743
3166,Polestar 2,Polestar极星,Polestar,29.98,35.88,2,0,744
3095,享域,本田,东风本田,6.48,12.49,2,0,745
2970,启辰T60,启辰,东风日产,8.68,11.28,2,0,746
4795,绎乐,广汽集团,广汽本田,13.78,15.98,1,0,747
